Num,City Name,XCoordinates,YCoordinates,Population,Consumption,Unit
1,Kyiv,50.46642973702415, 30.510685966312252,2884000,8652000,kWh
2,Lviv,49.84285361120489, 24.01223348530594,721301,2163903,kWh
3,Kharkiv,50.00730643206841, 36.23431812215419,1419000,4257000,kWh
4,Poltava,49.59423502146823, 34.55002669788818,284942,854826,kWh
5,Dnipro,48.47860252256786, 35.03399363782791,966400,2899200,kWh
6,Odesa,46.47880336590418, 30.733064723883107,119702,359106,kWh
7,Mykolaiv,46.98359397609876, 31.98532899509673,486268,1458804,kWh
8,Kryvyi Rih,47.91714595899914, 33.336270332210304,634780,1904340,kWh
9,Zaporizhzhia,47.847849903284576, 35.19663101380198,746749,2240247,kWh
10,Donetsk,47.999681819472315, 37.78691790984268,918536,2755608,kWh
11,Mariupol',47.12811591043212, 37.55792123667742,446103,1338309,kWh
